SIN011-0001|pansala /asurukiriimen dh/anagathah/aki boho)dhea sihiyata nagaa ganimin dhamayanthi kathaa kalaaya|pansala /asurukiriimen dh/anagathah/aki boho)dhea sihiyata nagaa ganimin dhamayanthi kathaa kalaaya
SIN011-0108|thevarak vehera p/adhakuNu kota vandhanaa gaaThaa kiviima sa`dhahaa v/ali maLuavea v/adi vuha|thevarak vehera p/adhakuNu kota vandhanaa gaaThaa kiviima sa`dhahaa v/ali maLuavea v/adi vuha
SIN011-0109|lesa dharshanaya viya nadayea siyaLua dhenaama vehera vandhanaya sanndhahaa pansal bhoomiya abh\yantharayata  piya n/agooha|lesa dharshanaya viya nadayea siyaLua dhenaama vehera vandhanaya sanndhahaa pansal bhoomiya abh\yantharayata  piya n/agooha
SIN011-0110|bo)Dhi maloova pasukarana /ayata ea asala dh/alvena m/ati pahan althaaraya matha itipandham eli|bo)Dhi maloova pasukarana /ayata ea asala dh/alvena m/ati pahan althaaraya matha itipandham eli
SIN011-0111|bera naadhayen savan piriigos gathapuraa vihidhii  giyea vidhuli kotuvaak meni eya dheavathaa aaraaThanaavak v/ani y/ayi kasunita sithuni|bera naadhayen savan piriigos gathapuraa vihidhii  giyea vidhuli kotuvaak meni eya dheavathaa aaraaThanaavak v/ani y/ayi kasunita sithuni
SIN011-0112|imahath uthkarShavath lesa p/avathi bera vaanaya sith thula guptha aasvaadhaka h/a`giimak /athikaleaya|imahath uthkarShavath lesa p/avathi bera vaanaya sith thula guptha aasvaadhaka h/a`giimak /athikaleaya
SIN011-0113|mahagedhara n/avathiima purudhdhak karagena thibuNu b/avini kalpanaa lovin midhuni kasunigea thulin|mahagedhara n/avathiima purudhdhak karagena thibuNu b/avini kalpanaa lovin midhuni kasunigea thulin
SIN011-0114|vidhuli bubuLua aalo)kaya sanndha eLiya haa musuva amuthuma aalo)kayak genadhin evealehi|vidhuli bubuLua aalo)kaya sanndha eLiya haa musuva amuthuma aalo)kayak genadhin evealehi
SIN011-0115|thel mal hanndhunkooru dhiya kalamanaa r/agena  pansal bhoomiya vetha piyan/agooha|thel mal hanndhunkooru dhiya kalamanaa r/agena  pansal bhoomiya vetha piyan/agooha
SIN011-0116|kasunigea venasviima g/ana dhamayanthi thamaa thula /athi vismaya pala kalaaya h/amo)ma paavahan galavaa|kasunigea venasviima g/ana dhamayanthi thamaa thula /athi vismaya pala kalaaya h/amo)ma paavahan galavaa
SIN011-0117|mama oyaalaa badhina dhavaseanam hithuve nAa mama paraarThanaa kalaa kasuni na\ngi budhDhaagamata h/areyi kiyalaa|mama oyaalaa badhina dhavaseanam hithuve nAa mama paraarThanaa kalaa kasuni na\ngi budhDhaagamata h/areyi kiyalaa
SIN011-0118|dhasun esea p/avasuvea kasuni g/ana aadambarayeni apatath hari sathutuyi mea na\ngi budhDhaagamata h/arunu ekata|dhasun esea p/avasuvea kasuni g/ana aadambarayeni apatath hari sathutuyi mea na\ngi budhDhaagamata h/arunu ekata
SIN011-0119|noyek dhea g/ana dheduha dh/an po)ya dhavasata mata pansal yanna mathak karanneth kasuni|noyek dhea g/ana dheduha dh/an po)ya dhavasata mata pansal yanna mathak karanneth kasuni
SIN011-0120|dhamayanthi thel pahanthira kapuru aadhiya venath kalamanaa sudhaanam kalaaya pirisa vaahanayehi gaman karanaa athara|dhamayanthi thel pahanthira kapuru aadhiya venath kalamanaa sudhaanam kalaaya pirisa vaahanayehi gaman karanaa athara
SIN011-0121|/aya araliya mal koodayak saha ithaa anarga vargayea hanndhunkooru pettiyak r/agena aavaaya|/aya araliya mal koodayak saha ithaa anarga vargayea hanndhunkooru pettiyak r/agena aavaaya
SIN011-0122|edhaa /asala pun poho)dhinaya viya kasun dhasun haa dharu dhedhenaa dhamayanthigea nivasata p/amiNiyaha|edhaa /asala pun poho)dhinaya viya kasun dhasun haa dharu dhedhenaa dhamayanthigea nivasata p/amiNiyaha
SIN011-0123|apea ratata g/alapenneth nAanea dh/an kasuni venas velaa matath vadaa aagama sa\nskathiya g/ana hithanavaa|apea ratata g/alapenneth nAanea dh/an kasuni venas velaa matath vadaa aagama sa\nskathiya g/ana hithanavaa
SIN011-0124|dhemavpiyan b/aliimata ena dhamayanthi gea pavula haa dhasungea pavulea samaajikayan dhavas kiipayakma|dhemavpiyan b/aliimata ena dhamayanthi gea pavula haa dhasungea pavulea samaajikayan dhavas kiipayakma
SIN011-0125|dhodamaLuava sitii /agea baala sohoyuri kiivaaya  mama dh/an oya vagea biima varga bonnea nAa|dhodamaLuava sitii /agea baala sohoyuri kiivaaya  mama dh/an oya vagea biima varga bonnea nAa
SIN011-0126|mea lea\Nslaa bona eavaanea p/amiNi velaavea sitama kasuni yana yana th/ana yamin|mea lea\Nslaa bona eavaanea p/amiNi velaavea sitama kasuni yana yana th/ana yamin
SIN011-0127|Sh/ampean tholagaamin aagiya thorathuru kathaakarannata vuha akkaa bonnea n/aththea /ayi|Sh/ampean tholagaamin aagiya thorathuru kathaakarannata vuha akkaa bonnea n/aththea /ayi
SIN011-0128|h/ama keneku idhiyeadha measaya matha viya dhamayanthi saha kasuni /ara anek aya ivahath l/adhiyaaven |h/ama keneku idhiyeadha measaya matha viya dhamayanthi saha kasuni /ara anek aya ivahath l/adhiyaaven 
SIN011-0129|dhasun saha dharuvan dhedhenaa kAama measayea asun gathha Sh/ampean piravu kudaa viidhuruvak |dhasun saha dharuvan dhedhenaa kAama measayea asun gathha Sh/ampean piravu kudaa viidhuruvak 
SIN011-0130|dhedhenaama v/ada pasekalaa peramagata giyo) ya dhamayanthigea pavulea samaajikayonuth kasunigea pavulea saamaajikayonuth|dhedhenaama v/ada pasekalaa peramagata giyo) ya dhamayanthigea pavulea samaajikayonuth kasunigea pavulea saamaajikayonuth
SIN011-0131|ammaayi thaaththaayi na\ngilayi mama hithuvea ? venakota ennea n/athuvaadho) kiyalaa|ammaayi thaaththaayi na\ngilayi mama hithuvea ? venakota ennea n/athuvaadho) kiyalaa
SIN011-0132|esea kiyamin /aya n/avathath v/adehi yuhusuLua vuvaaya anna na\ngi oyaalagea gedharin enavaa|esea kiyamin /aya n/avathath v/adehi yuhusuLua vuvaaya anna na\ngi oyaalagea gedharin enavaa
SIN011-0133|hari honndhayi akka kAamen parissam venna /athi bohethak nihanndava sitiyaaya n/avathath piyavi thathvaya /a`gavu /aya|hari honndhayi akka kAamen parissam venna /athi bohethak nihanndava sitiyaaya n/avathath piyavi thathvaya /a`gavu /aya
SIN011-0134|in pasu thamaa athin kisiyam varadhak sidhu voovaak men mohothak niha`dava sitiyaaya n/avathath piyavi thathvaya /a`gavu /aya|in pasu thamaa athin kisiyam varadhak sidhu voovaak men mohothak niha`dava sitiyaaya n/avathath piyavi thathvaya /a`gavu /aya
SIN011-0135|kaalayakata pasuvayi medhina ovunovun hamuvuyea sirith paridhi sAama avurudhu uthsava kaalayakama|kaalayakata pasuvayi medhina ovunovun hamuvuyea sirith paridhi sAama avurudhu uthsava kaalayakama
SIN011-0136|/aya naLalatath papuvatath dherayatath atha yavaa kurusaya andhaa ya|/aya naLalatath papuvatath dherayatath atha yavaa kurusaya andhaa ya
SIN011-0137|La`gadhi mama test kalaa dh/an saamaan\ya paramaaNayata adu velaa akkaata jeasu pihitayi|La`gadhi mama test kalaa dh/an saamaan\ya paramaaNayata adu velaa akkaata jeasu pihitayi
SIN011-0138|dh/an akkagea bla\N Shugar kohomadha kasuni dhenek bAaNaa vetha yomu kalaaya|dh/an akkagea bla\N Shugar kohomadha kasuni dhenek bAaNaa vetha yomu kalaaya
SIN011-0139|La`gama nAadh/ayanta aaraaDhanaa karamu kiyalaa kivvea esea kiyamin dhamayanthi dharuvan sellam karana dhesata h/arunaaya|La`gama nAadh/ayanta aaraaDhanaa karamu kiyalaa kivvea esea kiyamin dhamayanthi dharuvan sellam karana dhesata h/arunaaya
SIN011-0140|mama hithaa hitiyenam mechchara ikmanata hamuvenna b/ariveyi kiyalaa honndha velvata dhasun puthaagea upandhinayata |mama hithaa hitiyenam mechchara ikmanata hamuvenna b/ariveyi kiyalaa honndha velvata dhasun puthaagea upandhinayata 
SIN011-0141|kohedha dhasun gedhara enakota ? ata namaya venavaa Aa dhodamin ovunta sa\ngaraha kiriima sanndhahaa biima sAadhuvaaya|kohedha dhasun gedhara enakota ? ata namaya venavaa Aa dhodamin ovunta sa\ngaraha kiriima sanndhahaa biima sAadhuvaaya
SIN011-0142|udhav kiriima sanndhahaa muLuath/angeta giyaaya apata edhaayin passea hamuvennath b/arivuNaa|udhav kiriima sanndhahaa muLuath/angeta giyaaya apata edhaayin passea hamuvennath b/arivuNaa
SIN011-0143|puthaa paLuaven hitiyea thaama kavuruth aavea nAa kiyalaa dhamayanthi kasunita ? kAama measaya sudhaanam kiriimata|puthaa paLuaven hitiyea thaama kavuruth aavea nAa kiyalaa dhamayanthi kasunita ? kAama measaya sudhaanam kiriimata
SIN011-0144|dhurakaThanayen kii bava /ayata evelea sihi viya akkaa vealaasanin aa eka koyitharam ekakdha|dhurakaThanayen kii bava /ayata evelea sihi viya akkaa vealaasanin aa eka koyitharam ekakdha
SIN011-0145|api pita ayata aaraaDhanaa kalea nAa hithavathma yaaLuavo) kiipadhekea pamaNayi ennea yanuven thama sohoyuraa|api pita ayata aaraaDhanaa kalea nAa hithavathma yaaLuavo) kiipadhekea pamaNayi ennea yanuven thama sohoyuraa
SIN011-0146|sa\njaya sanndhuni saha dhamayanthigea puthath saalayea bima vaadivii sellam karamin sitiyaha|sa\njaya sanndhuni saha dhamayanthigea puthath saalayea bima vaadivii sellam karamin sitiyaha
SIN011-0147|vealaasanin dhasungea nivasata giyaaya ea vanavita dhannaa anndhunana aya kisivekuth p/amiNa sitiyea n/atha|vealaasanin dhasungea nivasata giyaaya ea vanavita dhannaa anndhunana aya kisivekuth p/amiNa sitiyea n/atha
SIN011-0148|dhamayanthi kAama measaya sudhaanam kiriimea aramuNin thama s/amiyaath puthaath sama`ga|dhamayanthi kAama measaya sudhaanam kiriimea aramuNin thama s/amiyaath puthaath sama`ga
SIN011-0149|upandhina saadhayata p/amiNena lesa pavulea s/amata aaraaDhanaa kaleaya|upandhina saadhayata p/amiNena lesa pavulea s/amata aaraaDhanaa kaleaya
SIN011-0150|sa\njaya puthaagea upandhinaya yedhii thibunea m/ayi maasayeaya edhina dhasun thama sohoyuriyagea dhurakaThanayata amathaa|sa\njaya puthaagea upandhinaya yedhii thibunea m/ayi maasayeaya edhina dhasun thama sohoyuriyagea dhurakaThanayata amathaa
SIN011-0151|kasuni saha dhasundha dharuvan sama`ga mo)dhara pihiti thama nivasa vetha p/amiNiima sanndhahaa sudhaanam vuha|kasuni saha dhasundha dharuvan sama`ga mo)dhara pihiti thama nivasa vetha p/amiNiima sanndhahaa sudhaanam vuha
SIN011-0152|chaaritharayak vashayen dhina kiipayak dhemaapiyan /asurehi vashayen dhina kiipayak dhemaapiyan /asurehi visiimata  p/amiNi dhamayanthi n/avatha dhehivala pihiti ovungea nivasa vetha p/amiNiyaaya|chaaritharayak vashayen dhina kiipayak dhemaapiyan /asurehi vashayen dhina kiipayak dhemaapiyan /asurehi visiimata  p/amiNi dhamayanthi n/avatha dhehivala pihiti ovungea nivasa vetha p/amiNiyaaya
SIN011-0153|kasuni dhuvageath puthaageath raNduva beariimata ovun sama`ga idhiripasa midhulata giyaaya|kasuni dhuvageath puthaageath raNduva beariimata ovun sama`ga idhiripasa midhulata giyaaya
SIN011-0154|ammea tikakata  o)ka dhenna kiyanna magea bo)lea p/alooNaa sa\njaya /avitili karannata viya|ammea tikakata  o)ka dhenna kiyanna magea bo)lea p/alooNaa sa\njaya /avitili karannata viya
SIN011-0155|dhiyaNiya vu sanndhuNi pasupasa haBaagena vith dhedhenaama /agea agehi ellooNaaha sanndhuni bo)layak /ath/athiva mavata thuruLua vuvaaya|dhiyaNiya vu sanndhuNi pasupasa haBaagena vith dhedhenaama /agea agehi ellooNaaha sanndhuni bo)layak /ath/athiva mavata thuruLua vuvaaya
SIN011-0156|neLuam pipiilaa pethi visirenavaa suvanndha pipi kumudhiniyea kasunigea v/adimahal puthu sa\njaya|neLuam pipiilaa pethi visirenavaa suvanndha pipi kumudhiniyea kasunigea v/adimahal puthu sa\njaya
SIN011-0157|eya kebadhu svaroopayakdha yanna ekata  niyama heathuvak seviima kala noh/aki bavath /ayata thearum giyeaya|eya kebadhu svaroopayakdha yanna ekata  niyama heathuvak seviima kala noh/aki bavath /ayata thearum giyeaya
SIN011-0158|mata mathak venavaa ea  dhavasvala dheavasThaanayeadhii gaayanaa karapu pansalea piyathumaagea si\ndhu|mata mathak venavaa ea  dhavasvala dheavasThaanayeadhii gaayanaa karapu pansalea piyathumaagea si\ndhu
SIN011-0159|vahahalavala h/ama th/anakama liyakam sahitha siththam nirmaaNaya karalaa thiyennea neLaloom maanel mosthara valin|vahahalavala h/ama th/anakama liyakam sahitha siththam nirmaaNaya karalaa thiyennea neLaloom maanel mosthara valin
SIN011-0160|na\ngita penvannam piLimageya bithu sithuvam vala mal aasana vala bimata savi karapu pi`gan gado)l vala |na\ngita penvannam piLimageya bithu sithuvam vala mal aasana vala bimata savi karapu pi`gan gado)l vala 
SIN011-0161|kasuni ektharaa unandhuvakin kaThaakalaaya bellanvila rajamahavihaarayata raajagiriyea go)thamii vihaarayata giya mama|kasuni ektharaa unandhuvakin kaThaakalaaya bellanvila rajamahavihaarayata raajagiriyea go)thamii vihaarayata giya mama
SIN011-0162|mal kaLaBak venuvata apea sa\nskathiyata nAakam kiyana rathu neLuam pokurak piLiganvalaa manamaaliyata subha p/athuvaloo|mal kaLaBak venuvata apea sa\nskathiyata nAakam kiyana rathu neLuam pokurak piLiganvalaa manamaaliyata subha p/athuvaloo
SIN011-0163|dheavasThaanayea p/av/athvu ethumaagea nAayekugea vivaaha ma\ngala uthsanayakadhii ro)samal nndealiyaa mal valin hadhapu|dheavasThaanayea p/av/athvu ethumaagea nAayekugea vivaaha ma\ngala uthsanayakadhii ro)samal nndealiyaa mal valin hadhapu
SIN011-0164|mama pari k/am/athiyi ea magea g/aBuru avabo)Dhayaka labanna marsalin jayakodi piyathumaa|mama pari k/am/athiyi ea magea g/aBuru avabo)Dhayaka labanna marsalin jayakodi piyathumaa
SIN011-0165|ethakota apea sa\nskathiyata koyitharam budhDhaagama balapaalaa thibeadha kiyalaa avabo)Dhayak labaaganna puLuavan|ethakota apea sa\nskathiyata koyitharam budhDhaagama balapaalaa thibeadha kiyalaa avabo)Dhayak labaaganna puLuavan
SIN011-0166|kalabaleata v/anndhalaa enavaa misak ehenam enna apith ekka puraaNa rajamaha vihaarayata yanna|kalabaleata v/anndhalaa enavaa misak ehenam enna apith ekka puraaNa rajamaha vihaarayata yanna
SIN011-0167|eakanam /aththa mama kavudha kiyalaavath gamea pansalea haamudhuruvo) dhannea nAa dhasun ekka pansal giyaama|eakanam /aththa mama kavudha kiyalaavath gamea pansalea haamudhuruvo) dhannea nAa dhasun ekka pansal giyaama
SIN011-0168|athiithaya piiraagos Lamaa sithuvili athara mohothak r/adhii sitiyaaya kisiyam santhaapayaka sitha thulata /athul vii /athath|athiithaya piiraagos Lamaa sithuvili athara mohothak r/adhii sitiyaaya kisiyam santhaapayaka sitha thulata /athul vii /athath
SIN011-0169|oyaa dhannavadha pansalea piyathumaa kiyannea kaatadha kiyalaa nAa akkea|oyaa dhannavadha pansalea piyathumaa kiyannea kaatadha kiyalaa nAa akkea
