SIN014-0001|samahara p/alayaka hadhisiyea p/ana n/agunu malak dhutu vita ehi chamathkaarayen vashiikatha vemi|samahara p/alayaka hadhisiyea p/ana n/agunu malak dhutu vita ehi chamathkaarayen vashiikatha vemi
SIN014-0105|hethema bonsaayi p/alayakdha r/agena aaveaya eya kalaathmaka lesa athu bedhii giya dhivul gasaki|hethema bonsaayi p/alayakdha r/agena aaveaya eya kalaathmaka lesa athu bedhii giya dhivul gasaki
SIN014-0106|mithurekugea nivasakata yana bava pavasaa pitath viya dhina kiipayakata pasu amal apagea nivasata p/aminiyea dhemaapiyan samagaya|mithurekugea nivasakata yana bava pavasaa pitath viya dhina kiipayakata pasu amal apagea nivasata p/aminiyea dhemaapiyan samagaya
SIN014-0107|kaamarayehi vu /adhum p/aladhum amaraseanagea kaamarayata gena giyeaya anathuruva ek /adhum kattalayak pamanak gena|kaamarayehi vu /adhum p/aladhum amaraseanagea kaamarayata gena giyeaya anathuruva ek /adhum kattalayak pamanak gena
SIN014-0108|labana maasea mahaththayaa la\nkaavata enavaa iita kalin bo)dimak hoyaa gannaamalta magea norissum gathiya thearum yaama nisaa|labana maasea mahaththayaa la\nkaavata enavaa iita kalin bo)dimak hoyaa gannaamalta magea norissum gathiya thearum yaama nisaa
SIN014-0109|amaraseanagea kaamarayea inna b/arinam yaaloovekugea dhihaavea kohomath oyaata thava tika dhavasayi oyaata mehea inna puloovan|amaraseanagea kaamarayea inna b/arinam yaaloovekugea dhihaavea kohomath oyaata thava tika dhavasayi oyaata mehea inna puloovan
SIN014-0110|ovun amalta nivasa thula navaath/an dhiima anumatha nokarana bava mama dhanimiamal heta nam oyaa mehea navathinna epaa|ovun amalta nivasa thula navaath/an dhiima anumatha nokarana bava mama dhanimiamal heta nam oyaa mehea navathinna epaa
SIN014-0111|n/avatha vishva vidh\yaalayea shiSh\ya aragalayak hata gaththoth ea avata kisidhu nivasaka shiSh\yayanta navath/an pahasukam nolAabeyi|n/avatha vishva vidh\yaalayea shiSh\ya aragalayak hata gaththoth ea avata kisidhu nivasaka shiSh\yayanta navath/an pahasukam nolAabeyi
SIN014-0112|ohu mehi ?dhi sitinnea n/avatha vishva vidhyaalaya patan gannaa thek bavath ohu amaraseanagea lagama GNaathiyek bavath p/avasiimen vuvadha|ohu mehi ?dhi sitinnea n/avatha vishva vidhyaalaya patan gannaa thek bavath ohu amaraseanagea lagama GNaathiyek bavath p/avasiimen vuvadha
SIN014-0113|ethakota measea uda thiyana pinthoora mal pochchiyea p/aththakin thiyanavaa hariyata eyaagea gedhara vagea amal vishva vidh\yaala shiSh\yayeku bavath|ethakota measea uda thiyana pinthoora mal pochchiyea p/aththakin thiyanavaa hariyata eyaagea gedhara vagea amal vishva vidh\yaala shiSh\yayeku bavath
SIN014-0114|thaama thiyenavaa mea gedharadha ambalamak vagea velaa kiyalaa velaavakata hithenavaa amal avva velaavata paadam karanna saaleta /avith|thaama thiyenavaa mea gedharadha ambalamak vagea velaa kiyalaa velaavakata hithenavaa amal avva velaavata paadam karanna saaleta /avith
SIN014-0115|eaka parana valavvak pauraaNika bhaanda valin pirilaamidhulea p/aththaka mahaththayaagea siiyaa paavichchi kala ashva karaththaya|eaka parana valavvak pauraaNika bhaanda valin pirilaamidhulea p/aththaka mahaththayaagea siiyaa paavichchi kala ashva karaththaya
SIN014-0116|maatharin ena mahaththayaagea nAa pirisa paaramparika dhanavath aya ea ayagea geval dhoraval apea  eavaata vadaa koyi tharam alankaaradha?|maatharin ena mahaththayaagea nAa pirisa paaramparika dhanavath aya ea ayagea geval dhoraval apea  eavaata vadaa koyi tharam alankaaradha?
SIN014-0117|amaraseanagea kaamarayea /adhan dhekakma thiyenavaanea mata nAa pirisagea adhahas udhahas sihiyata n/aguneaya|amaraseanagea kaamarayea /adhan dhekakma thiyenavaanea mata nAa pirisagea adhahas udhahas sihiyata n/aguneaya
SIN014-0118|amal lengathu bavakin yuthuva p/avasuveaya oyaagea visthara kivvaama ea aya ahavi pita kenekuta gea athulea nidhaaganna dhennea /ayi kiyalaa|amal lengathu bavakin yuthuva p/avasuveaya oyaagea visthara kivvaama ea aya ahavi pita kenekuta gea athulea nidhaaganna dhennea /ayi kiyalaa
SIN014-0119|adhahas valata pariya bavak nom/athi bava penviimata /athiya eahenam mama /adhum tika piti passea thiyena v/alen dhaalaa saalea nidhaa gannam|adhahas valata pariya bavak nom/athi bava penviimata /athiya eahenam mama /adhum tika piti passea thiyena v/alen dhaalaa saalea nidhaa gannam
SIN014-0120|mama thiiranaathmaka svarayen esea pAavasuvea nAa pirisata ithaa  ihalin s/alakiya yuthu nisaa amalgea hAasiiriim rataava haa|mama thiiranaathmaka svarayen esea pAavasuvea nAa pirisata ithaa  ihalin s/alakiya yuthu nisaa amalgea hAasiiriim rataava haa
SIN014-0121|kalin thibunu vidhihata kaamarea aayeth harigassannapita kenek mehea navathvaagena inna bava nAadhAayanta hagavanna mama k/amathi n/ahAa|kalin thibunu vidhihata kaamarea aayeth harigassannapita kenek mehea navathvaagena inna bava nAadhAayanta hagavanna mama k/amathi n/ahAa
SIN014-0122|siyaloo karadhara haa norissum gathi avasan vii Aathath vitin vita amal pilibadha anek vidha  sithivili hata ganii|siyaloo karadhara haa norissum gathi avasan vii Aathath vitin vita amal pilibadha anek vidha  sithivili hata ganii
SIN014-0123|heta mehea navathinna maatharin apea nAadhAa kattiyak enavaa ea nisaa oyaa maamaagea kaamarayata yanna|heta mehea navathinna maatharin apea nAadhAa kattiyak enavaa ea nisaa oyaa maamaagea kaamarayata yanna
SIN014-0124|sidhuviima thula  maa hata Aathi vuyea siyum sathutakiea h/ara pita ayeku navathaageana sitina bava /agaviimatadha maa thula vuyea imahath akam/aththaki|sidhuviima thula  maa hata Aathi vuyea siyum sathutakiea h/ara pita ayeku navathaageana sitina bava /agaviimatadha maa thula vuyea imahath akam/aththaki
SIN014-0125|sakas kala yuthu viya mehiidhii amalta n/avatha amaraseanagea kaamarayata yaamata yojanaa kirima|sakas kala yuthu viya mehiidhii amalta n/avatha amaraseanagea kaamarayata yaamata yojanaa kirima
SIN014-0126|kaamara sudhaanam kirimatadha thibuni punchi ammaagea putharayaa sadhahaa amalta dhii thibu kaamarayadha an ayata thavath kaamarayakdha|kaamara sudhaanam kirimatadha thibuni punchi ammaagea putharayaa sadhahaa amalta dhii thibu kaamarayadha an ayata thavath kaamarayakdha
SIN014-0127|gevaththa pirisidhukirimath, nivasa thula badu baahiraadhiya pilivelakata th/abiimath ithaa unandhuven kalemiovunta dhedhinak n/avathii sitiimata|gevaththa pirisidhukirimath, nivasa thula badu baahiraadhiya pilivelakata th/abiimath ithaa unandhuven kalemiovunta dhedhinak n/avathii sitiimata
SIN014-0128|/ayagea dhiyani varun dhedhenaath, putharayaath p/aminena bava dhanvaa dhurakathana /amathumak ladhimimama venath amathara v/ada pasekalaa|/ayagea dhiyani varun dhedhenaath, putharayaath p/aminena bava dhanvaa dhurakathana /amathumak ladhimimama venath amathara v/ada pasekalaa
SIN014-0129|bellanvila raja mahaa vihaarayehi perah/ara n/arabiima sadhahaa maathara isadhiin nagarayea mahathmayaagea punchi ammaath|bellanvila raja mahaa vihaarayehi perah/ara n/arabiima sadhahaa maathara isadhiin nagarayea mahathmayaagea punchi ammaath
SIN014-0130|ohugea /asuren thamaa thula /athi vu udhyo)gayath eyata heathu vun/ayi sithami edhina janavaari maasayea dhinayaki|ohugea /asuren thamaa thula /athi vu udhyo)gayath eyata heathu vun/ayi sithami edhina janavaari maasayea dhinayaki
SIN014-0131|amal saamaanya budhDhiyen thorava katayuthu kirima gAana sayuru gath bavak nopenuni amal samaga mitharashiili bavak goda n/agiimath|amal saamaanya budhDhiyen thorava katayuthu kirima gAana sayuru gath bavak nopenuni amal samaga mitharashiili bavak goda n/agiimath
SIN014-0132|kavichchiyea /andhata thabaagena nidhaa gena siti bava penii giyeayamama norisssum gathiyen yuthuva magea kaamarayata giyemi|kavichchiyea /andhata thabaagena nidhaa gena siti bava penii giyeayamama norisssum gathiyen yuthuva magea kaamarayata giyemi
SIN014-0133|amalta navath/an dhenna sidhu vunu nisaa mama amaaruven godanagaagaththu sansun jiivithaya, chiththa pariithiya eahema pitinma|amalta navath/an dhenna sidhu vunu nisaa mama amaaruven godanagaagaththu sansun jiivithaya, chiththa pariithiya eahema pitinma
SIN014-0134|amal p/amina dhora h/ariyeaya mama kAama kaala paththarea bala bala inna atharea nikanma nindha giyaa amal kushan kiipayak|amal p/amina dhora h/ariyeaya mama kAama kaala paththarea bala bala inna atharea nikanma nindha giyaa amal kushan kiipayak
SIN014-0135|mama sayuru samaga aapasu niivasata ena vita savasa thuna pasu vii thibuni maa kiipavathaavak siinuva naadha kirimen|mama sayuru samaga aapasu niivasata ena vita savasa thuna pasu vii thibuni maa kiipavathaavak siinuva naadha kirimen
SIN014-0136|mata /athi viya sithehi n/agii aa ko)paya m/adapavathvaa gaththea amal amaraseanagea GNaathiyek neadha yanna mathakayata nanvaa gAaniimen|mata /athi viya sithehi n/agii aa ko)paya m/adapavathvaa gaththea amal amaraseanagea GNaathiyek neadha yanna mathakayata nanvaa gAaniimen
SIN014-0137|mama gea vahalaa yathura aragena yannayi hitiyea eahenam issarahaa dhorath vahagena inna thavath keneku nivasa aakaramanaya kalaak v/ani h/agiimak|mama gea vahalaa yathura aragena yannayi hitiyea eahenam issarahaa dhorath vahagena inna thavath keneku nivasa aakaramanaya kalaak v/ani h/agiimak
SIN014-0138|n/avatha parachaaraya karanavaa  mama eaka bala bala innam mis kaamaraya vahalaa yannam mama gea balaagena saalayata velaa innam|n/avatha parachaaraya karanavaa  mama eaka bala bala innam mis kaamaraya vahalaa yannam mama gea balaagena saalayata velaa innam
SIN014-0139|h/andhAavata enna n/avathilaa pahuvedhaa aavath kamak n/ah/a mis adha udhea 10 ta tiivii ekea ?jina theariimea parasangaya|h/andhAavata enna n/avathilaa pahuvedhaa aavath kamak n/ah/a mis adha udhea 10 ta tiivii ekea ?jina theariimea parasangaya
SIN014-0140|layanal venth ekata oyaagea maamaath gedhara gihin thaama aavea n/ahAaea nisaa oyaa yaaloovekugea gedhara gihin|layanal venth ekata oyaagea maamaath gedhara gihin thaama aavea n/ahAaea nisaa oyaa yaaloovekugea gedhara gihin
SIN014-0141|mama ea sadhahaa sahabhaagii viimata sithuvemi amal mama adha puthaa ekka bonsaayi v/ada muloovata yanavaa|mama ea sadhahaa sahabhaagii viimata sithuvemi amal mama adha puthaa ekka bonsaayi v/ada muloovata yanavaa
SIN014-0142|bonsaayi p/ala paradharshanayak saha v/adamuloovak layanal vendat shaalaavea p/av/athvena bava puvathpath valin dh/anagaththemi|bonsaayi p/ala paradharshanayak saha v/adamuloovak layanal vendat shaalaavea p/av/athvena bava puvathpath valin dh/anagaththemi
SIN014-0143|dh/an amuthuvenma uyanna  o)nea dh/an magea aaDh\yaathmaya, sithum p/athum koyi tharam venas velaadha? edhina iridhaavak viya|dh/an amuthuvenma uyanna  o)nea dh/an magea aaDh\yaathmaya, sithum p/athum koyi tharam venas velaadha? edhina iridhaavak viya
SIN014-0144|suli sulagak h/amu kaalaparichcheadhayak vagea sitha hariyata hea karana b/ari kuloo harakek vagea|suli sulagak h/amu kaalaparichcheadhayak vagea sitha hariyata hea karana b/ari kuloo harakek vagea
SIN014-0145|venadhaata nam udheata paan hari idhiaappa hari kaden geanavaa huga vealaavakata dhavalta uyana dheyin ?tath pirimahagannavaa|venadhaata nam udheata paan hari idhiaappa hari kaden geanavaa huga vealaavakata dhavalta uyana dheyin ?tath pirimahagannavaa
SIN014-0146|sithata  dh/anena nirmaanathmaka sithuvili ea s/aninma yatapath venavaadh/an h/amadhaama vagea ?tath uyanna  o)nea|sithata  dh/anena nirmaanathmaka sithuvili ea s/aninma yatapath venavaadh/an h/amadhaama vagea ?tath uyanna  o)nea
SIN014-0147|nitharama maa sitha dh/aru adhahasak viya amal mehe n/avathunu dhavasea idhalama mata thavama keti kathaavakvath padha pelakvath liyanna  b/ari vunaa|nitharama maa sitha dh/aru adhahasak viya amal mehe n/avathunu dhavasea idhalama mata thavama keti kathaavakvath padha pelakvath liyanna  b/ari vunaa
SIN014-0148|venadhaa maa thula p/avathi sathuta ivath viimen yam  yam dhAa ivasum nodhena svaabhaavayakdha sithehi nosansun bavakdha hatagena thibuni|venadhaa maa thula p/avathi sathuta ivath viimen yam  yam dhAa ivasum nodhena svaabhaavayakdha sithehi nosansun bavakdha hatagena thibuni
SIN014-0149|ovungea kathaa bahata kan dhii siti mama p/avasuvemi sayurutadha magea gathi p/avathum vala kisiyam amuththak /athi bava thearum giya bavak penuni|ovungea kathaa bahata kan dhii siti mama p/avasuvemi sayurutadha magea gathi p/avathum vala kisiyam amuththak /athi bava thearum giya bavak penuni
SIN014-0150|dhahayen passea nam tiivii dhaanna epaa mona karadharayakdha? mata thun sootharaya kiyalaa niviih/anahillea nidhaa ganna  o)nea|dhahayen passea nam tiivii dhaanna epaa mona karadharayakdha? mata thun sootharaya kiyalaa niviih/anahillea nidhaa ganna  o)nea
SIN014-0151|n/aththam mata paalyi dhahayen passea kavuru tii,vii b/aloovath ammaa baninavaa apo) ata nam bAa b/anum ahanna|n/aththam mata paalyi dhahayen passea kavuru tii,vii b/aloovath ammaa baninavaa apo) ata nam bAa b/anum ahanna
SIN014-0152|mama ? dhahaya venakam paadam karanavaa eath iita assea nidhivaraagena monavaa kalath ammaa k/amathi n/ahAaadha vitharak dhahayen passe p/aya dhekak balanna|mama ? dhahaya venakam paadam karanavaa eath iita assea nidhivaraagena monavaa kalath ammaa k/amathi n/ahAaadha vitharak dhahayen passe p/aya dhekak balanna
SIN014-0153|dhinak amal sayuru amathuveaya mallii adha ? dhahayata hodha hindhi chitharapatayak thiyanavaa mallii eaka balanna innavaanea|dhinak amal sayuru amathuveaya mallii adha ? dhahayata hodha hindhi chitharapatayak thiyanavaa mallii eaka balanna innavaanea
SIN014-0154|sayuri visheaShathvayak nom/athiva  o)nAama v/ada satahanak n/arabuveayaraatharii kAamen pasu|sayuri visheaShathvayak nom/athiva  o)nAama v/ada satahanak n/arabuveayaraatharii kAamen pasu
SIN014-0155|ithaa kamaniiya bhaashaaven liyavunu navakathaa v/ani poth kiviimata puloovan  pahugiya kaalaya|ithaa kamaniiya bhaashaaven liyavunu navakathaa v/ani poth kiviimata puloovan  pahugiya kaalaya
SIN014-0156|dh/anviim avasthaavan hiidhii potha kiyaviimadha ohugea siritha viyaohu narabana boho v/ada satahan maa pariya kala eavaa noviiya|dh/anviim avasthaavan hiidhii potha kiyaviimadha ohugea siritha viyaohu narabana boho v/ada satahan maa pariya kala eavaa noviiya
SIN014-0157|kaloovara v/atiigena ethma kiyaviima sadhahaa pothak r/agena vith saalayehi roopavaahiniya n/arabiimata|kaloovara v/atiigena ethma kiyaviima sadhahaa pothak r/agena vith saalayehi roopavaahiniya n/arabiimata
SIN014-0158|dhigu kalak n/avathii sitinneku lesini ohu pariya karana naloo niliyangea pinthooradha|dhigu kalak n/avathii sitinneku lesini ohu pariya karana naloo niliyangea pinthooradha
SIN014-0159|vidhuli pankaavak, k/asat pati  ethiya h/aki guvan vidhuli yantharayak  measaya matha th/anpath kara thibunea|vidhuli pankaavak, k/asat pati  ethiya h/aki guvan vidhuli yantharayak  measaya matha th/anpath kara thibunea
SIN014-0160|eaheth v/assakin pasu eavaa n/avatha saruvata v/anndea amal thamaa visin miladhii genena|eaheth v/assakin pasu eavaa n/avatha saruvata v/anndea amal thamaa visin miladhii genena
SIN014-0161|mama boho vita aviGNaanikava menma p/alAati vala goba haa kalati kadaa visikaramin|mama boho vita aviGNaanikava menma p/alAati vala goba haa kalati kadaa visikaramin
SIN014-0162|amal visin gen/avith situvana ladha mal hodhin v/adenaa ayuru maa thavath aparasaadhayata path kaleaya|amal visin gen/avith situvana ladha mal hodhin v/adenaa ayuru maa thavath aparasaadhayata path kaleaya
SIN014-0163|amalta udhavu karanavaa, kisidhu saaththuvak ho) pohora  dh/amiimak n/athiva k/alAavehi v/avena valpAala men|amalta udhavu karanavaa, kisidhu saaththuvak ho) pohora  dh/amiimak n/athiva k/alAavehi v/avena valpAala men
SIN014-0164|dhemaapiyanta kisima barak n/ahAa aanduven l/abena mahapola /arunaama thavath subha saadhaka sanvidhaana kiipayakinma|dhemaapiyanta kisima barak n/ahAa aanduven l/abena mahapola /arunaama thavath subha saadhaka sanvidhaana kiipayakinma
SIN014-0165|thorathuru magea sihiyata n/agea amal hari vaasanaavanthayi  eyaa vishva vidhyaalayea igena gaththaata|thorathuru magea sihiyata n/agea amal hari vaasanaavanthayi  eyaa vishva vidhyaalayea igena gaththaata
SIN014-0166|goda maanel p/alaya thibu thAanama pohora dhamaa sitevveminaa gasa yata saniipa putuvak thabaagena|goda maanel p/alaya thibu thAanama pohora dhamaa sitevveminaa gasa yata saniipa putuvak thabaagena
SIN014-0167|supasin sithak /athikara g/aniimata gannaa viiryaya hiru dhutu pini bidhak meni viteka amalgea maamaa visin pavasana|supasin sithak /athikara g/aniimata gannaa viiryaya hiru dhutu pini bidhak meni viteka amalgea maamaa visin pavasana
SIN014-0168|amalgea p/av/athma nisaa gilihi yana bavak mata h/agii yannata viya keneku nisaa aparasanna sithak /athivita|amalgea p/av/athma nisaa gilihi yana bavak mata h/agii yannata viya keneku nisaa aparasanna sithak /athivita
SIN014-0169|nop/aminiima g/ana lekhakayekugea parikalpanayata avashya viveakaya saha maanasika suvaya|nop/aminiima g/ana lekhakayekugea parikalpanayata avashya viveakaya saha maanasika suvaya
SIN014-0170|kana pasaaru karagena yanavaa mama dh/an dhuk vennea venadhaa raathariyath samaga maagea kavuloova lagata lagum ganna ena battichchaa|kana pasaaru karagena yanavaa mama dh/an dhuk vennea venadhaa raathariyath samaga maagea kavuloova lagata lagum ganna ena battichchaa
SIN014-0171|magea nirmaana katayuthu maga n/avathunaa vagea puthaa ekka vino)dha vena velaavata amalgea thiyunu hada|magea nirmaana katayuthu maga n/avathunaa vagea puthaa ekka vino)dha vena velaavata amalgea thiyunu hada
SIN014-0172|amal venuven k/apa karana bava kaatath therum ganna bAahAa ea vagea vaathaavaranayaka agaya dhannea maa vitharayi|amal venuven k/apa karana bava kaatath therum ganna bAahAa ea vagea vaathaavaranayaka agaya dhannea maa vitharayi
SIN014-0173|hodha velaavata mahaththayaagea vidheashiiya paatamaalaava thava maasa hatharakin dhik karalaamama hudhekalaa bavea chamathkaaraya|hodha velaavata mahaththayaagea vidheashiiya paatamaalaava thava maasa hatharakin dhik karalaamama hudhekalaa bavea chamathkaaraya
SIN014-0174|jayavardhanapura vishva vidhyaalaya aarambha kirimata thavath kala gatha vana bavakimata thava dhuratath amalta navaath/an dhenna veavii|jayavardhanapura vishva vidhyaalaya aarambha kirimata thavath kala gatha vana bavakimata thava dhuratath amalta navaath/an dhenna veavii
SIN014-0175|amal apagea nivasata p/amina siv masak pamana ikuth viya kiipa varak maaDh\ya magin parakaashayata path vuyea|amal apagea nivasata p/amina siv masak pamana ikuth viya kiipa varak maaDh\ya magin parakaashayata path vuyea
SIN014-0176|mo)dayingea kariidaavaknea karannea enna api ekka karikat gahanna v/adi velaavak tiivii ekea yannea karikat m/ach|mo)dayingea kariidaavaknea karannea enna api ekka karikat gahanna v/adi velaavak tiivii ekea yannea karikat m/ach
SIN014-0177|in vihidhena suvadhin haathpasa suvadhavath vana ayurin mavaa gathimi mama naa p/alaya|in vihidhena suvadhin haathpasa suvadhavath vana ayurin mavaa gathimi mama naa p/alaya
SIN014-0178|ohuva pus pol gediyak gena paapandhu karidaavehi yedhii sitiyaha ovun /amathu amal, mallilaa|ohuva pus pol gediyak gena paapandhu karidaavehi yedhii sitiyaha ovun /amathu amal, mallilaa
SIN014-0179|kelilol vilaasayen allapu his idamakata giyea ehi baala lamayin kiipa dheneku sellam karana bava dh/akiimeni|kelilol vilaasayen allapu his idamakata giyea ehi baala lamayin kiipa dheneku sellam karana bava dh/akiimeni
SIN014-0180|h/andhAavata sellam kalaama /agata hari fit?ta paadam karamu pavasayiedhina amal saha sayuru|h/andhAavata sellam kalaama /agata hari fit?ta paadam karamu pavasayiedhina amal saha sayuru
SIN014-0181|tika vealaavakata pasu amal parabodhamath vilaasayen ohu amathayimallii api karikat gahamudha?|tika vealaavakata pasu amal parabodhamath vilaasayen ohu amathayimallii api karikat gahamudha?
SIN014-0182|sudhusu th/an balaa indhaviiya sayuruta paasal nivaadu Aathi boho) dhinavala dhivaa aahaaraya gena|sudhusu th/an balaa indhaviiya sayuruta paasal nivaadu Aathi boho) dhinavala dhivaa aahaaraya gena
SIN014-0183|inpasu amal magea parasadhayak nom/athi bava dh/ana dh/anath thamaa genena ladha mal p/ala gevaththehi|inpasu amal magea parasadhayak nom/athi bava dh/ana dh/anath thamaa genena ladha mal p/ala gevaththehi
SIN014-0184|hethema  maa p/avasu dheata kisivak peralaa kiimata nosithuveaya magea vadhan ganan nogannaa ayurin h/asiruneaya|hethema  maa p/avasu dheata kisivak peralaa kiimata nosithuveaya magea vadhan ganan nogannaa ayurin h/asiruneaya
SIN014-0185|eakea kola mea vidhiha neveyi meakath hodha pichcha vargayak kiyalaa hithanna amaaruyikolavala h/atiyen mata hithennea val p/alAatiyak kiyalaa|eakea kola mea vidhiha neveyi meakath hodha pichcha vargayak kiyalaa hithanna amaaruyikolavala h/atiyen mata hithennea val p/alAatiyak kiyalaa
SIN014-0186|goda maanel k/aleaka h/adhena vargayak mata hithanna bAa meaka k/andiyan daansar vargayea  o)ki\N ekak kiyalaa|goda maanel k/aleaka h/adhena vargayak mata hithanna bAa meaka k/andiyan daansar vargayea  o)ki\N ekak kiyalaa
SIN014-0187|mea thamayi kadupul meaka pichcha vargayak mea kAandiyan daans, mea goda maanel lassana ro)sa paatak|mea thamayi kadupul meaka pichcha vargayak mea kAandiyan daans, mea goda maanel lassana ro)sa paatak
SIN014-0188|naa dhaloo thadha ro)sa p/ah/ayen pavanea leladhena ayurin chandhrayaa badhu sudho) sudhu mal piipii /athi ayuruth|naa dhaloo thadha ro)sa p/ah/ayen pavanea leladhena ayurin chandhrayaa badhu sudho) sudhu mal piipii /athi ayuruth
SIN014-0189|mama ohugea basata kan dhunnea ivatha balaa genaya mis mama mehea n/athi mal p/ala kiipayakma genavaa|mama ohugea basata kan dhunnea ivatha balaa genaya mis mama mehea n/athi mal p/ala kiipayakma genavaa
SIN014-0190|sayuru mallith ekka karikat gahanavaa n/aththam kamputar eka thiyena th/anata giyaama velaava yanavaa dh/anennea n/ahAa|sayuru mallith ekka karikat gahanavaa n/aththam kamputar eka thiyena th/anata giyaama velaava yanavaa dh/anennea n/ahAa
SIN014-0191|gedhara giya vele idhalaama mama hari kamm/ali kamin hitiyea mehedhi nam paadam karalaa mahansi vunaama|gedhara giya vele idhalaama mama hari kamm/ali kamin hitiyea mehedhi nam paadam karalaa mahansi vunaama
SIN014-0192|sathiyak hamaarak gatha karanu athAayi maa sithuvadha dhina thunakata pasuva peralaa p/aminiyeaya|sathiyak hamaarak gatha karanu athAayi maa sithuvadha dhina thunakata pasuva peralaa p/aminiyeaya
SIN014-0193|pitath vuyea apea nivasata pamina maasa dhekahamaarak p/amana kaalayak gatha vuvaata asuvaya ohu niv/asiyan samaga|pitath vuyea apea nivasata pamina maasa dhekahamaarak p/amana kaalayak gatha vuvaata asuvaya ohu niv/asiyan samaga
SIN014-0194|mamath nihada parisarayakata aasa karana kenek amalgea nivasa pihitiyea thangalleaya edhina ohu gamea yaama sadhahaa|mamath nihada parisarayakata aasa karana kenek amalgea nivasa pihitiyea thangalleaya edhina ohu gamea yaama sadhahaa
SIN014-0195|dh/an mama meheta purudhu velaa sayuru mallitath mama n/athuva paalooyi mama k/amathi sayuru mechchara kaalayak hitapu vidhihata thaniyama innavata|dh/an mama meheta purudhu velaa sayuru mallitath mama n/athuva paalooyi mama k/amathi sayuru mechchara kaalayak hitapu vidhihata thaniyama innavata
SIN014-0196|ea gollo jiivath vennea hari amaaruvenea vunaata mama heta anidhdhaa dhavasaka gedhara gihin tika dhavasak n/avathilaa enavaa|ea gollo jiivath vennea hari amaaruvenea vunaata mama heta anidhdhaa dhavasaka gedhara gihin tika dhavasak n/avathilaa enavaa
SIN014-0197|ea madhivata malliyi nangiyi nitharama randu matayi kiyalaa poth tika thiyaaganna measayakvath n/ahAa|ea madhivata malliyi nangiyi nitharama randu matayi kiyalaa poth tika thiyaaganna measayakvath n/ahAa
SIN014-0198|mata hithena vidhihata dh/anma vishva vidh\yaalaya patan ganna patan ganna bavak penna n/ahAa apoyi mis apea gedhara paadam karana kenekuta kisima pahasukamak nAahAa|mata hithena vidhihata dh/anma vishva vidh\yaalaya patan ganna patan ganna bavak penna n/ahAa apoyi mis apea gedhara paadam karana kenekuta kisima pahasukamak nAahAa
SIN014-0199|maa sitha arak gena thibu adhahasa anuva naa p/alayak milata gathimi  eya athu patharalaa v/adena vita|maa sitha arak gena thibu adhahasa anuva naa p/alayak milata gathimi  eya athu patharalaa v/adena vita
SIN014-0200|mama boho)  vita mesea kiyaa /aththemi amal oyaata poth tikak aragena gedhara giyaanam tika dhavasak eahea idhan  paadam karanna puloovannea|mama boho)  vita mesea kiyaa /aththemi amal oyaata poth tikak aragena gedhara giyaanam tika dhavasak eahea idhan  paadam karanna puloovannea
SIN014-0201|ohu maasekata s/arayakvath magea nivasea aya /asuru kirimata noyaama g/anadha maa thula aththea asathutaki|ohu maasekata s/arayakvath magea nivasea aya /asuru kirimata noyaama g/anadha maa thula aththea asathutaki
SIN014-0202|maa thula s/agavii /athi aparasaadhaya venas novana sulooya mama svaadhiinava kal geviimata /athi k/am/aththa eyata heathuvak viya|maa thula s/agavii /athi aparasaadhaya venas novana sulooya mama svaadhiinava kal geviimata /athi k/am/aththa eyata heathuvak viya
SIN014-0203|mama ohuta /ahumkan dhennea  o)nAavata epaavata meni ohu mal p/ala valata pohora dh/amiimata udhavu vana vita saha venath kaaryayan hiidhii|mama ohuta /ahumkan dhennea  o)nAavata epaavata meni ohu mal p/ala valata pohora dh/amiimata udhavu vana vita saha venath kaaryayan hiidhii
SIN014-0204|mis apea gedhara thiyenavaa harima suvadha pichcha vargayak mama oyapaara gedhara gihin enakota p/alayak gennayi innea|mis apea gedhara thiyenavaa harima suvadha pichcha vargayak mama oyapaara gedhara gihin enakota p/alayak gennayi innea
SIN014-0205|amal nivasea sitinam mal padhuru vala v/adi p/ala ugulvaa venath th/anaka indhaviima v/ani kaaryayanta udhavu viimata s/araseyi|amal nivasea sitinam mal padhuru vala v/adi p/ala ugulvaa venath th/anaka indhaviima v/ani kaaryayanta udhavu viimata s/araseyi
SIN014-0206|siiniyaas mal paaththi vala samanaloongea paaraadhiisayak velaa maa gevaththehi v/ada karana avasthaa vala|siiniyaas mal paaththi vala samanaloongea paaraadhiisayak velaa maa gevaththehi v/ada karana avasthaa vala
SIN014-0207|haavaa hadha dhakinavaa vagea dhuburu paatakuth kahapaatakuth apuru vidhihata mishara velaa eka eka paata kudaloo|haavaa hadha dhakinavaa vagea dhuburu paatakuth kahapaatakuth apuru vidhihata mishara velaa eka eka paata kudaloo
SIN014-0208|koyi tharam lassanadha, idhdha gaha puraama mal ihirilaa harima suvadhayi mea  o)ki\N p/alayea mal pipennea|koyi tharam lassanadha, idhdha gaha puraama mal ihirilaa harima suvadhayi mea  o)ki\N p/alayea mal pipennea
SIN014-0209|mea p/alayea malak pipunea godaak kaalekin amuthuma th/abili paatak mata mea paata saariyak thibeanam|mea p/alayea malak pipunea godaak kaalekin amuthuma th/abili paatak mata mea paata saariyak thibeanam
